player_name,pitcher,events,p_throws,pitch_name,release_speed,hit_distance_sc,launch_speed,launch_angle,bat_score,post_bat_score,delta_run_exp
"Ohtani, Shohei",664948,double,L,Curveball,81,280,93.6,22,11,12,1.25
"Ohtani, Shohei",579328,home_run,L,Cutter,94.3,436,112.5,21,0,1,2
"Ohtani, Shohei",593423,single,R,4-Seam Fastball,97.1,232,95.4,14,1,3,0.9
"Ohtani, Shohei",592135,single,R,4-Seam Fastball,93.7,183,109.7,8,4,4,0.9
"Ohtani, Shohei",605138,single,L,Cutter,86,1,69.5,-65,9,9,0.9
"Ohtani, Shohei",676969,home_run,R,Cutter,89.4,380,117,24,6,9,2
"Ohtani, Shohei",605135,triple,R,Curveball,73.7,396,102.3,22,1,2,1.6
"Ohtani, Shohei",605135,double,R,4-Seam Fastball,93.8,80,68.5,7,0,0,1.25
"Ohtani, Shohei",650644,single,R,Cutter,88.6,26,34.7,2,2,2,0.9
"Ohtani, Shohei",668676,single,R,Changeup,88,295,97.8,15,1,1,0.9
"Ohtani, Shohei",668676,home_run,R,4-Seam Fastball,93.7,440,111.9,31,0,1,2
"Ohtani, Shohei",656529,home_run,L,4-Seam Fastball,93.6,431,105.9,27,3,6,2
"Ohtani, Shohei",598264,home_run,R,4-Seam Fastball,96.7,372,96.6,36,4,6,2
"Ohtani, Shohei",527048,single,L,Sinker,95.3,55,66.9,2,0,0,0.9
"Ohtani, Shohei",601713,home_run,R,Knuckle Curve,79.4,370,101.7,33,0,1,2
"Ohtani, Shohei",601713,double,R,Knuckle Curve,80.4,312,95.2,28,0,0,1.25
"Ohtani, Shohei",621121,single,R,Changeup,83.8,196,94.7,13,0,0,0.9
"Ohtani, Shohei",545333,single,R,Cutter,87.5,5,76.8,-16,0,0,0.9
"Ohtani, Shohei",642701,single,R,Changeup,87,27,93,-4,0,0,0.9
"Ohtani, Shohei",628711,double,L,4-Seam Fastball,94.5,354,104.7,22,4,5,1.25
"Ohtani, Shohei",523260,double,R,Changeup,87.5,368,97.1,24,7,8,1.25
"Ohtani, Shohei",676596,home_run,L,Sinker,91.6,428,107.6,33,1,3,2
"Ohtani, Shohei",519326,single,R,Changeup,89.7,12,80.9,-13,3,3,0.9
"Ohtani, Shohei",607192,home_run,R,Slider,88.1,427,110.3,34,0,2,2
"Ohtani, Shohei",607192,double,R,Curveball,85,59,98.2,1,0,0,1.25
"Ohtani, Shohei",623167,home_run,R,Changeup,82.9,364,97,34,2,3,2
"Ohtani, Shohei",641540,double,R,Sinker,90.4,378,105,22,4,4,1.25
"Ohtani, Shohei",543475,double,R,4-Seam Fastball,92.7,199,113.8,11,1,3,1.25
"Ohtani, Shohei",660365,single,L,4-Seam Fastball,88.7,50,27.5,47,7,7,0.9
"Ohtani, Shohei",677651,home_run,R,4-Seam Fastball,92.5,440,107.1,27,2,3,2
"Ohtani, Shohei",592288,home_run,L,Sinker,92,413,108.3,33,1,2,2
"Ohtani, Shohei",425844,double,R,4-Seam Fastball,89.4,141,101.9,8,0,1,1.25
"Ohtani, Shohei",425844,single,R,4-Seam Fastball,88.8,189,72.9,17,0,0,0.9
"Ohtani, Shohei",592314,home_run,R,Slider,83.4,402,107.2,38,1,2,2
"Ohtani, Shohei",677976,single,R,Changeup,85.6,213,78.6,20,2,2,0.9
"Ohtani, Shohei",518633,home_run,L,Slider,83.5,431,108.9,29,0,1,2
"Ohtani, Shohei",518813,single,R,4-Seam Fastball,94.5,106,111.3,5,2,2,0.9
"Ohtani, Shohei",518633,single,L,Curveball,80.2,16,90.9,-9,0,0,0.9
"Ohtani, Shohei",623470,double,R,Slider,84.3,265,83.8,28,7,8,1.25
"Ohtani, Shohei",605130,double,R,4-Seam Fastball,95.1,353,119,18,4,6,1.25
"Ohtani, Shohei",663903,single,R,Slider,87.9,181,106.5,7,0,0,0.9
"Ohtani, Shohei",571927,triple,L,Curveball,78.9,278,82.1,33,0,0,1.6
"Ohtani, Shohei",643615,home_run,R,Sinker,91.6,422,108.2,30,4,5,2
"Ohtani, Shohei",643615,double,R,Changeup,80.5,369,98.3,30,1,4,1.25
"Ohtani, Shohei",605447,single,R,Slider,91.2,278,113.8,14,4,5,0.9
"Ohtani, Shohei",519151,single,R,Curveball,81.9,273,87.3,22,2,2,0.9
"Ohtani, Shohei",425844,single,R,Changeup,87.5,68,33.6,35,0,0,0.9
"Ohtani, Shohei",656302,home_run,R,4-Seam Fastball,97,451,115.2,21,0,1,2
"Ohtani, Shohei",458681,single,R,4-Seam Fastball,93.7,204,95.4,17,2,2,0.9
"Ohtani, Shohei",521230,home_run,R,4-Seam Fastball,97.3,421,106.3,29,6,8,2
"Ohtani, Shohei",572971,triple,L,Sinker,87.7,48,108,0,0,0,1.6
"Ohtani, Shohei",669160,single,R,Sinker,98.6,73,93.4,3,0,0,0.9
"Ohtani, Shohei",596295,home_run,L,4-Seam Fastball,90.9,363,95.6,42,0,1,2
"Ohtani, Shohei",624647,single,L,Slider,86,84,68.6,9,0,0,0.9
"Ohtani, Shohei",670970,home_run,L,4-Seam Fastball,96.4,415,109,23,0,2,2
"Ohtani, Shohei",458681,single,R,Sinker,93.6,245,104,12,1,1,0.9
"Ohtani, Shohei",458681,home_run,R,4-Seam Fastball,95.1,385,109.1,21,0,1,2
"Ohtani, Shohei",621129,single,R,Changeup,84.8,205,78.3,20,1,1,0.9
"Ohtani, Shohei",458681,single,R,4-Seam Fastball,94.3,188,75.9,19,0,0,0.9
"Ohtani, Shohei",656232,single,R,Cutter,87,187,65.3,24,0,1,0.9
"Ohtani, Shohei",548384,single,L,Sweeper,80.6,208,82.4,19,5,6,0.9
"Ohtani, Shohei",621381,single,L,Curveball,83.5,12,74.4,-7,2,2,0.9
"Ohtani, Shohei",594835,single,L,4-Seam Fastball,87.9,227,77.9,20,1,1,0.9
"Ohtani, Shohei",643290,single,R,Slider,84.9,241,109.9,15,0,0,0.9
"Ohtani, Shohei",676606,double,L,4-Seam Fastball,89.2,124,100.7,8,0,0,1.25
"Ohtani, Shohei",607352,double,R,Sinker,92.7,134,101.1,8,10,12,1.25
"Ohtani, Shohei",605482,single,R,Cutter,92.6,35,79.9,-4,4,4,0.9
"Ohtani, Shohei",593423,home_run,R,Sinker,95.3,439,111.3,28,0,3,2
"Ohtani, Shohei",518617,single,L,Sweeper,83.6,14,97,-10,4,4,0.9
"Ohtani, Shohei",669160,single,R,Sinker,98.1,224,87.4,19,0,0,0.9
"Ohtani, Shohei",595014,double,R,Slider,89,218,82.1,19,3,3,1.25
