overall_pick,games,points,field_goal_percentage,3_point_percentage,free_throw_percentage,points_per_game
25,196,1474,0.487,0.321,0.813,7.5
26,262,2354,0.41,0.39,0.835,9
27,174,1255,0.728,0,0.665,7.2
28,59,168,0.337,0.315,0.833,2.8
29,49,211,0.376,0.227,0.726,4.3
30,95,642,0.417,0.366,0.766,6.8
31,108,523,0.395,0.315,0.737,4.8
32,223,984,0.386,0.383,0.81,4.4
33,277,3286,0.494,0.373,0.8,11.9
34,240,3080,0.372,0.357,0.827,12.8
35,32,87,0.34,0.209,0.533,2.7
36,230,1941,0.722,,0.54,8.4
37,204,2752,0.416,0.389,0.82,13.5
38,39,160,0.388,0.316,0.75,4.1
39,143,439,0.432,0.3,0.759,3.1
40,131,780,0.444,0.329,0.739,6
41,166,892,0.591,0.143,0.616,5.4
42,269,2056,0.482,0.327,0.745,7.6
43,,,,,,
44,,,,,,
45,207,1748,0.475,0.277,0.634,8.4
46,235,1968,0.409,0.361,0.766,8.4
47,220,1451,0.398,0.353,0.785,6.6
48,163,853,0.462,0.304,0.714,5.2
49,143,869,0.463,0.308,0.762,6.1
50,72,182,0.48,0.25,0.721,2.5
51,,,,,,
52,2,3,0.25,0.25,,1.5
53,11,20,0.2,0.235,0.5,1.8
54,178,1731,0.447,0.361,0.819,9.7
55,2,0,0,0,,0
56,16,58,0.529,0,0.286,3.6
57,10,17,0.259,0.15,,1.7
58,11,18,0.538,0.429,0.5,1.6
59,5,1,0,0,0.5,0.2
60,22,21,0.375,,0.474,1
1,85,2187,0.604,0.333,0.683,25.7
2,187,3961,0.474,0.327,0.754,21.2
3,198,3469,0.418,0.357,0.697,17.5
4,139,1831,0.434,0.359,0.785,13.2
5,181,3142,0.443,0.378,0.876,17.4
6,134,890,0.401,0.283,0.497,6.6
7,195,2672,0.413,0.365,0.851,13.7
8,194,1575,0.634,0.36,0.723,8.1
9,147,1913,0.477,0.36,0.779,13
10,133,1399,0.387,0.325,0.841,10.5
11,183,1899,0.44,0.39,0.843,10.4
12,187,2202,0.454,0.375,0.702,11.8
13,175,2925,0.44,0.385,0.851,16.7
14,98,353,0.4,0.3,0.633,3.6
15,96,542,0.388,0.256,0.693,5.6
16,115,954,0.39,0.326,0.81,8.3
17,158,1467,0.387,0.329,0.726,9.3
18,149,752,0.477,0.254,0.707,5
19,36,138,0.43,0.294,0.576,3.8
20,196,939,0.45,0.324,0.657,4.8
21,181,1976,0.591,0.294,0.699,10.9
22,209,1133,0.449,0.369,0.775,5.4
23,185,1841,0.406,0.305,0.695,10
24,112,795,0.398,0.344,0.784,7.1
25,138,802,0.455,0.317,0.727,5.8
26,81,271,0.412,0.32,0.8,3.3
27,51,137,0.388,0.314,0.84,2.7
28,184,2520,0.416,0.341,0.885,13.7
29,161,2313,0.478,0.385,0.753,14.4
30,137,1878,0.424,0.352,0.686,13.7
31,94,688,0.646,0.167,0.539,7.3
32,63,176,0.406,0.273,0.607,2.8
33,72,267,0.364,0.297,0.758,3.7
34,119,379,0.527,0.146,0.608,3.2
35,12,43,0.326,0.355,1,3.6
36,171,989,0.46,0.323,0.66,5.8
37,23,44,0.3,0.314,0.5,1.9
38,169,1277,0.692,0,0.657,7.6
39,29,87,0.463,0.304,0.72,3
40,72,228,0.446,0.343,0.544,3.2
41,158,1552,0.494,0.326,0.758,9.8
42,71,245,0.403,0.321,0.733,3.5
43,119,963,0.446,0.345,0.811,8.1
44,53,142,0.478,0.378,0.667,2.7
45,109,987,0.495,0.365,0.708,9.1
46,131,1216,0.437,0.276,0.783,9.3
47,64,318,0.416,0.315,0.686,5
48,189,1443,0.491,0.379,0.786,7.6
49,42,88,0.452,0.188,0.826,2.1
50,37,88,0.438,0.366,0.75,2.4
51,40,149,0.354,0.296,0.96,3.7
52,118,775,0.475,0.359,0.732,6.6
53,4,19,0.35,0.2,0.75,4.8
54,4,11,0.25,0.333,0.75,2.8
55,53,165,0.361,0.303,0.75,3.1
56,,,,,,
57,24,68,0.378,0.286,,2.8
58,80,145,0.35,0.33,0.75,1.8
59,6,14,0.357,0.5,0.6,2.3
60,,,,,,
1,144,2925,0.429,0.344,0.781,20.3
2,39,448,0.519,0.316,0.628,11.5
3,126,2311,0.431,0.378,0.826,18.3
4,88,808,0.49,0.413,0.729,9.2
5,134,1234,0.446,0.315,0.747,9.2
6,98,620,0.672,0,0.695,6.3
7,92,629,0.374,0.268,0.78,6.8
8,134,901,0.521,0.307,0.753,6.7
9,136,1027,0.426,0.316,0.729,7.6
10,78,523,0.495,0.317,0.761,6.7
11,133,1213,0.421,0.357,0.84,9.1
12,135,1934,0.473,0.412,0.846,14.3
13,78,484,0.391,0.298,0.841,6.2
14,98,414,0.417,0.318,0.796,4.2
15,112,1667,0.393,0.337,0.846,14.9
16,139,1126,0.529,0.33,0.708,8.1
17,106,831,0.376,0.285,0.717,7.8
18,106,420,0.493,0.311,0.647,4
19,152,2178,0.399,0.361,0.833,14.3
20,134,968,0.468,0.357,0.556,7.2
21,136,1799,0.478,0.396,0.867,13.2
22,83,406,0.503,0.439,0.663,4.9
23,35,50,0.315,0.278,0.846,1.4
24,115,843,0.404,0.337,0.653,7.3
25,142,1613,0.393,0.365,0.885,11.4
26,137,952,0.435,0.412,0.924,6.9
27,32,96,0.707,,0.667,3
28,133,1074,0.455,0.338,0.724,8.1
29,91,542,0.38,0.326,0.75,6
30,144,2009,0.464,0.435,0.882,14
31,13,13,0.353,0,0.333,1
32,26,66,0.51,0.143,0.625,2.5
33,33,63,0.431,0.167,0.706,1.9
34,116,1019,0.371,0.322,0.766,8.8
35,112,642,0.515,0.281,0.645,5.7
36,18,18,0.318,0.25,0.6,1
37,30,187,0.407,0.327,0.864,6.2
38,85,475,0.434,0.265,0.731,5.6
39,54,157,0.328,0.28,0.769,2.9
40,25,27,0.278,0.2,0.5,1.1
41,106,507,0.487,0.232,0.8,4.8
42,68,165,0.646,0,0.685,2.4
43,32,100,0.406,0.27,0.632,3.1
44,9,17,0.267,0.2,0.727,1.9
45,92,658,0.415,0.37,0.809,7.2
46,88,407,0.39,0.275,0.717,4.6
47,,,,,,
48,30,123,0.342,0.367,0.821,4.1
49,96,351,0.355,0.349,0.855,3.7
50,61,204,0.469,0.338,0.882,3.3
51,,,,,,
52,124,1115,0.524,0.36,0.667,9
53,29,55,0.409,0.435,0.9,1.9
54,33,88,0.36,0.233,0.895,2.7
55,22,84,0.39,0.267,0.8,3.8
56,7,18,0.667,0.5,,2.6
57,36,170,0.459,0.189,0.679,4.7
58,64,204,0.552,0.143,0.455,3.2
59,13,96,0.5,0.472,0.778,7.4
60,36,114,0.417,0.4,0.75,3.2
1,64,1114,0.416,0.314,0.845,17.4
2,67,1157,0.426,0.343,0.797,17.3
3,69,1034,0.508,0.25,0.663,15
4,74,1134,0.492,0.301,0.735,15.3
5,48,564,0.361,0.214,0.773,11.8
6,54,674,0.419,0.263,0.709,12.5
7,70,652,0.513,0.336,0.684,9.3
8,79,1197,0.468,0.354,0.863,15.2
9,75,861,0.418,0.316,0.659,11.5
10,62,501,0.45,0.314,0.782,8.1
11,31,142,0.348,0.347,0.871,4.6
12,50,288,0.374,0.307,0.746,5.8
13,55,720,0.432,0.369,0.804,13.1
14,52,228,0.437,0.364,0.778,4.4
15,77,634,0.455,0.35,0.871,8.2
16,72,692,0.474,0.248,0.711,9.6
17,62,334,0.394,0.382,0.882,5.4
18,60,625,0.393,0.36,0.793,10.4
19,21,22,0.643,0.5,0.375,1
20,22,52,0.537,0.231,0.714,2.4
21,37,267,0.353,0.34,0.804,7.2
22,36,297,0.563,0.313,0.682,8.3
23,24,48,0.432,0.25,0.714,2
24,74,587,0.448,0.296,0.735,7.9
25,46,275,0.404,0.381,0.684,6
26,69,698,0.403,0.366,0.856,10.1
27,67,570,0.433,0.27,0.829,8.5
28,2,2,1,,,1
29,32,198,0.577,0.286,0.585,6.2
30,32,132,0.402,0.125,0.625,4.1
31,12,20,0.269,0.25,0.333,1.7
32,49,366,0.414,0.352,0.741,7.5
33,,,,,,
34,,,,,,
35,78,742,0.476,0.337,0.84,9.5
36,40,89,0.296,0.25,0.667,2.2
37,33,67,0.436,0.259,0.6,2
38,77,679,0.52,0.376,0.679,8.8
39,14,45,0.447,,0.647,3.2
40,42,161,0.404,0.318,0.688,3.8
41,29,61,0.357,0.326,0.538,2.1
42,19,121,0.456,0.422,0.857,6.4
43,48,225,0.426,0.311,0.677,4.7
44,48,284,0.412,0.353,0.842,5.9
45,,,,,,
46,64,205,0.411,0.255,0.591,3.2
47,2,0,0,0,,0
48,13,7,0.214,0.167,,0.5
49,,,,,,
50,,,,,,
51,51,343,0.385,0.306,0.819,6.7
52,32,186,0.449,0.327,0.623,5.8
53,23,69,0.638,0,0.75,3
54,41,154,0.496,0.423,0.818,3.8
55,50,416,0.463,0.304,0.729,8.3
56,2,1,,,0.5,0.5
57,,,,,,
58,41,90,0.722,,0.414,2.2
59,,,,,,
60,13,86,0.463,0.385,0.467,6.6
