overall_pick,games,points,field_goal_percentage,3_point_percentage,free_throw_percentage,points_per_game
22,493,3625,0.534,0.116,0.639,7.4
23,496,2546,0.415,0.377,0.659,5.1
24,913,16712,0.425,0.337,0.804,18.3
25,157,923,0.516,0,0.58,5.9
26,59,204,0.365,0.2,0.663,3.5
27,214,835,0.456,0.256,0.676,3.9
28,98,479,0.542,0,0.685,4.9
29,1089,9870,0.46,0.136,0.794,9.1
30,749,4676,0.459,0.091,0.699,6.2
31,66,99,0.394,0,0.404,1.5
32,418,2481,0.426,0.387,0.824,5.9
33,39,92,0.367,0.25,0.826,2.4
34,224,1140,0.435,0.366,0.713,5.1
35,152,538,0.412,0.335,0.732,3.5
36,88,204,0.402,0.216,0.72,2.3
37,25,55,0.456,,0.75,2.2
38,21,48,0.34,0.273,0.722,2.3
39,148,423,0.42,0.077,0.665,2.9
40,,,,,,
41,535,3726,0.447,0.281,0.751,7
42,552,5059,0.499,0.232,0.728,9.2
43,75,957,0.439,0.379,0.789,12.8
44,,,,,,
45,103,693,0.423,0.383,0.633,6.7
46,47,101,0.378,0,0.574,2.1
47,23,96,0.476,,0.6,4.2
48,68,131,0.317,0.333,0.735,1.9
49,,,,,,
50,50,177,0.5,0,0.625,3.5
51,,,,,,
52,2,3,0.25,0,0.5,1.5
53,,,,,,
54,,,,,,
1,831,17182,0.479,0.299,0.649,20.7
2,832,6752,0.457,0.103,0.716,8.1
3,704,10684,0.458,0.316,0.774,15.2
4,611,11644,0.418,0.345,0.766,19.1
5,563,9405,0.443,0.352,0.812,16.7
6,825,7826,0.466,0.298,0.691,9.5
7,269,1032,0.353,0.272,0.769,3.8
8,791,11839,0.485,0.215,0.638,15
9,866,9468,0.451,0.347,0.69,10.9
10,937,7956,0.388,0.36,0.746,8.5
11,839,14551,0.444,0.402,0.863,17.3
12,774,5109,0.446,0.306,0.652,6.6
13,402,3235,0.411,0.378,0.779,8
14,27,55,0.467,,0.684,2
15,85,203,0.378,0,0.709,2.4
16,335,1547,0.441,0.361,0.809,4.6
17,207,938,0.407,0.29,0.775,4.5
18,15,19,0.348,0,0.75,1.3
19,193,980,0.403,0,0.667,5.1
20,383,2647,0.418,0.373,0.723,6.9
21,381,2882,0.394,0.348,0.666,7.6
22,568,6357,0.432,0.351,0.817,11.2
23,845,3473,0.505,0.2,0.605,4.1
24,993,15635,0.454,0.331,0.861,15.7
25,644,2287,0.471,0.115,0.587,3.6
26,8,14,0.4,,0.667,1.8
27,22,32,0.378,0,0.5,1.5
28,800,5784,0.426,0.348,0.79,7.2
29,,,,,,
30,307,3020,0.573,0,0.644,9.8
31,23,56,0.4,,0.522,2.4
32,11,35,0.308,0.1,0.5,3.2
33,186,574,0.456,0,0.704,3.1
34,40,76,0.312,0.222,0.444,1.9
35,4,3,0.333,,0.5,0.8
36,,,,,,
37,880,12658,0.405,0.357,0.794,14.4
38,,,,,,
39,,,,,,
40,55,182,0.415,0.4,0.643,3.3
41,,,,,,
42,10,21,0.296,0.25,0.5,2.1
43,53,157,0.404,0.279,0.759,3
44,,,,,,
45,841,6663,0.431,0.369,0.75,7.9
46,22,53,0.435,0.467,0.75,2.4
47,579,3738,0.395,0.361,0.875,6.5
48,14,13,0.429,0,0.5,0.9
49,,,,,,
50,,,,,,
51,,,,,,
52,68,194,0.556,0,0.531,2.9
53,,,,,,
54,,,,,,
1,688,14234,0.459,0.34,0.82,20.7
2,1391,17529,0.4,0.349,0.785,12.6
3,1026,17137,0.483,0.314,0.769,16.7
4,957,10716,0.435,0.35,0.731,11.2
5,1208,16159,0.469,0.12,0.764,13.4
6,203,1974,0.456,0.083,0.618,9.7
7,736,8286,0.43,0.36,0.759,11.3
8,756,7933,0.49,0.214,0.746,10.5
9,465,2071,0.49,0,0.478,4.5
10,954,14155,0.437,0.373,0.809,14.8
11,298,2196,0.536,0.258,0.562,7.4
12,277,2167,0.416,0.363,0.744,7.8
13,923,13220,0.443,0.355,0.801,14.3
14,110,233,0.396,,0.57,2.1
15,789,5919,0.434,0.399,0.839,7.5
16,173,827,0.496,0.182,0.465,4.8
17,793,5871,0.438,0.35,0.779,7.4
18,113,440,0.541,0.75,0.475,3.9
19,156,1140,0.404,0.327,0.608,7.3
20,55,195,0.381,0.314,0.7,3.5
21,327,1388,0.44,0.222,0.618,4.2
22,147,394,0.444,0.222,0.743,2.7
23,733,8192,0.457,0.418,0.778,11.2
24,456,2884,0.481,0.111,0.665,6.3
25,277,1902,0.478,0.226,0.767,6.9
26,630,3947,0.408,0.364,0.771,6.3
27,168,760,0.409,0.376,0.647,4.5
28,,,,,,
29,143,329,0.455,0,0.719,2.3
30,786,5116,0.407,0.35,0.827,6.5
31,,,,,,
32,401,1072,0.446,0.1,0.551,2.7
33,139,751,0.489,0.143,0.487,5.4
34,4,15,0.333,0,1,3.8
35,449,2527,0.538,0.143,0.529,5.6
36,,,,,,
37,114,423,0.389,0.309,0.721,3.7
38,133,467,0.53,0.333,0.579,3.5
39,181,510,0.51,0.25,0.576,2.8
40,11,18,0.348,0.333,,1.6
41,,,,,,
42,,,,,,
43,105,189,0.464,,0.465,1.8
44,,,,,,
45,41,167,0.388,0.36,0.682,4.1
46,565,6745,0.415,0.384,0.787,11.9
47,102,323,0.468,0.316,0.694,3.2
48,,,,,,
49,,,,,,
50,3,2,0.5,,0,0.7
51,318,2031,0.506,0.118,0.675,6.4
52,266,1667,0.407,0.386,0.792,6.3
53,,,,,,
54,215,1276,0.527,,0.792,5.9
1,1030,11208,0.455,0.238,0.79,10.9
2,1015,12227,0.497,0.117,0.67,12
3,970,16409,0.409,0.309,0.822,16.9
4,1109,16006,0.467,0.336,0.721,14.4
5,1462,26071,0.497,0.275,0.789,17.8
6,395,4945,0.475,0.074,0.703,12.5
7,878,11763,0.406,0.357,0.833,13.4
8,172,851,0.414,0.34,0.816,4.9
9,128,634,0.367,0.222,0.755,5
10,1110,8973,0.486,0.281,0.76,8.1
11,506,4366,0.501,0.08,0.643,8.6
12,472,2056,0.47,0.211,0.63,4.4
13,822,9147,0.49,0.136,0.714,11.1
14,658,5642,0.415,0.318,0.736,8.6
15,912,8488,0.46,0.405,0.823,9.3
16,652,5094,0.469,0.192,0.639,7.8
17,657,5654,0.414,0.325,0.689,8.6
18,810,5809,0.496,0,0.71,7.2
19,51,124,0.328,0.273,0.8,2.4
20,462,3368,0.481,0,0.637,7.3
21,1103,17306,0.444,0.375,0.811,15.7
22,135,453,0.408,0.25,0.783,3.4
23,708,5376,0.431,0.345,0.835,7.6
24,140,645,0.432,0.348,0.696,4.6
25,118,341,0.423,0,0.638,2.9
26,28,90,0.375,0.16,0.765,3.2
27,68,269,0.534,0.333,0.511,4
28,756,3512,0.486,0.1,0.569,4.6
29,307,1677,0.389,0.354,0.756,5.5
30,66,130,0.333,0.25,0.647,2
31,43,103,0.394,,0.758,2.4
32,36,106,0.33,0.31,0.674,2.9
33,61,189,0.376,,0.656,3.1
34,587,2815,0.507,0,0.621,4.8
35,64,285,0.429,0.147,0.691,4.5
36,119,747,0.408,0.299,0.652,6.3
37,13,27,0.357,0.333,0.75,2.1
38,,,,,,
39,119,293,0.321,0.336,0.681,2.5
40,8,40,0.433,,0.636,5
41,,,,,,
42,30,79,0.349,0.25,0.5,2.6
43,846,5791,0.424,0.208,0.763,6.8
44,,,,,,
45,,,,,,
46,,,,,,
47,226,1728,0.405,0.322,0.806,7.6
48,230,1261,0.442,0.246,0.655,5.5
49,117,336,0.35,0.317,0.63,2.9
50,25,89,0.473,0.3,0.593,3.6
51,,,,,,
52,541,2944,0.431,0.396,0.854,5.4
53,,,,,,
54,,,,,,
55,1,0,,,,0
56,297,1988,0.416,0.338,0.807,6.7
57,7,9,0.25,0.6,0,1.3
58,403,1454,0.53,0,0.658,3.6
1,914,24368,0.425,0.313,0.78,26.7
2,973,9262,0.466,0.205,0.67,9.5
3,830,15028,0.472,0.297,0.81,18.1
4,846,16297,0.433,0.325,0.784,19.3
5,1300,24505,0.452,0.4,0.894,18.9
6,893,15647,0.414,0.325,0.633,17.5
7,778,6191,0.459,0.069,0.645,8
8,507,7165,0.439,0.378,0.78,14.1
9,445,2376,0.462,0.111,0.63,5.3
10,987,7309,0.498,0.125,0.626,7.4
11,225,835,0.422,0,0.668,3.7
12,610,3995,0.479,0.167,0.694,6.5
13,1346,33643,0.447,0.329,0.837,25
14,804,13647,0.45,0.401,0.895,17
15,1217,17387,0.49,0.428,0.904,14.3
16,545,4957,0.408,0.343,0.769,9.1
17,1011,13309,0.467,0.147,0.715,13.2
18,381,2901,0.462,0.3,0.74,7.6
19,593,3056,0.392,0.346,0.698,5.2
20,843,10976,0.476,0.31,0.78,13
21,15,44,0.333,0.261,,2.9
22,137,652,0.483,0.5,0.532,4.8
23,35,52,0.339,0.5,0.889,1.5
24,1287,10713,0.399,0.374,0.817,8.3
25,83,389,0.425,0.323,0.693,4.7
26,587,3865,0.502,0.038,0.645,6.6
27,102,375,0.381,0.343,0.82,3.7
28,74,255,0.472,0,0.554,3.4
29,371,1276,0.438,0.259,0.696,3.4
30,709,5212,0.505,0,0.738,7.4
31,114,381,0.416,0.167,0.803,3.3
32,,,,,,
33,445,2272,0.401,0.286,0.74,5.1
34,,,,,,
35,,,,,,
36,,,,,,
37,576,5396,0.431,0.328,0.796,9.4
38,35,76,0.526,0,0.552,2.2
39,,,,,,
40,,,,,,
41,14,30,0.412,0.333,0.5,2.1
42,203,773,0.406,0.351,0.771,3.8
43,40,54,0.356,,0.462,1.4
44,813,5003,0.437,0.177,0.743,6.2
45,,,,,,
46,27,92,0.381,0.333,0.714,3.4
47,,,,,,
48,201,911,0.424,0.4,0.629,4.5
49,114,204,0.377,0,0.609,1.8
50,,,,,,
51,76,350,0.376,0.374,0.571,4.6
52,153,285,0.401,0.179,0.573,1.9
53,13,18,0.278,,0.889,1.4
54,719,5327,0.457,0.316,0.739,7.4
55,,,,,,
56,101,209,0.344,0.328,0.493,2.1
57,60,134,0.417,0.381,0.774,2.2
58,,,,,,
1,1392,26496,0.506,0.179,0.696,19
2,575,9206,0.443,0.361,0.835,16
3,1043,15802,0.415,0.387,0.894,15.2
4,872,6623,0.444,0.311,0.793,7.6
5,837,5082,0.488,0.162,0.69,6.1
6,432,5892,0.429,0.25,0.808,13.6
7,824,9454,0.437,0.369,0.758,11.5
8,733,2989,0.477,0,0.499,4.1
9,938,18381,0.435,0.338,0.746,19.6
10,440,3615,0.472,0.167,0.785,8.2
11,236,1830,0.417,0.237,0.703,7.8
12,659,4475,0.407,0.34,0.861,6.8
13,615,7357,0.408,0.341,0.853,12
14,534,5889,0.466,0.152,0.711,11
15,541,2960,0.507,0.077,0.644,5.5
16,729,5342,0.412,0.134,0.789,7.3
17,54,256,0.402,0.394,0.718,4.7
18,155,813,0.413,0.138,0.755,5.2
19,506,2222,0.494,0,0.709,4.4
20,16,29,0.448,,0.375,1.8
21,494,4478,0.444,0.404,0.794,9.1
22,60,373,0.339,0.341,0.814,6.2
23,755,7344,0.417,0.354,0.793,9.7
24,72,380,0.347,0.2,0.62,5.3
25,208,560,0.502,0,0.591,2.7
26,142,729,0.409,0.288,0.606,5.1
27,776,3463,0.429,0.352,0.779,4.5
28,45,130,0.325,0.091,0.563,2.9
29,,,,,,
30,,,,,,
31,48,120,0.4,0,0.87,2.5
32,19,49,0.359,0,0.778,2.6
33,44,108,0.56,0.429,0.647,2.5
34,39,128,0.414,0.167,0.721,3.3
35,15,40,0.462,,0.64,2.7
36,23,59,0.382,0.45,0.571,2.6
37,387,3238,0.446,0.226,0.814,8.4
38,54,275,0.391,0.362,0.632,5.1
39,793,4432,0.414,0.356,0.745,5.6
40,,,,,,
41,17,26,0.6,,0.8,1.5
42,858,12976,0.414,0.333,0.798,15.1
43,,,,,,
44,260,1885,0.436,0.14,0.715,7.3
45,20,61,0.328,0,0.767,3.1
46,104,716,0.402,0.346,0.757,6.9
47,460,4161,0.421,0.313,0.76,9
48,278,2187,0.425,0.34,0.799,7.9
49,,,,,,
50,252,1654,0.437,0.347,0.824,6.6
51,80,265,0.383,0.39,0.7,3.3
52,,,,,,
53,,,,,,
54,605,4941,0.504,0.359,0.723,8.2
55,,,,,,
56,,,,,,
57,,,,,,
1,500,4135,0.435,,0.597,8.3
2,1001,14698,0.436,0.379,0.802,14.7
3,563,5690,0.466,0.363,0.711,10.1
4,1083,20042,0.451,0.346,0.724,18.5
5,1541,25728,0.435,0.371,0.798,16.7
6,438,2085,0.474,0.167,0.577,4.8
7,788,8266,0.398,0.327,0.813,10.5
8,727,10242,0.406,0.309,0.757,14.1
9,1522,31560,0.471,0.38,0.879,20.7
10,1343,26397,0.445,0.368,0.806,19.7
11,591,7147,0.46,0.327,0.697,12.1
12,587,2882,0.439,0.125,0.791,4.9
13,353,2882,0.5,0.053,0.645,8.2
14,212,3257,0.432,0.402,0.784,15.4
15,665,7645,0.481,0.333,0.753,11.5
16,243,1081,0.382,0.371,0.83,4.4
17,811,5519,0.502,0.077,0.585,6.8
18,17,33,0.368,0,0.625,1.9
19,552,4017,0.417,0.398,0.806,7.3
20,113,817,0.409,0.111,0.819,7.2
21,736,9912,0.446,0.361,0.781,13.5
22,608,2876,0.494,0.333,0.566,4.7
23,554,4710,0.437,0.391,0.829,8.5
24,249,1448,0.432,0.327,0.659,5.8
25,981,13237,0.444,0.352,0.727,13.5
26,68,283,0.511,0.36,0.739,4.2
27,270,1118,0.425,0.133,0.536,4.1
28,153,835,0.39,0.289,0.652,5.5
29,1005,5827,0.486,0,0.64,5.8
30,127,401,0.434,0.276,0.64,3.2
31,649,6953,0.517,0.179,0.641,10.7
32,1049,15579,0.452,0.386,0.805,14.9
33,260,1200,0.539,,0.49,4.6
34,325,1892,0.401,0.366,0.798,5.8
35,102,173,0.356,0.208,0.526,1.7
36,358,1540,0.485,0,0.617,4.3
37,9,2,0.125,,,0.2
38,5,6,0.333,,,1.2
39,671,6799,0.383,0.354,0.729,10.1
40,3,13,0.5,0.25,1,4.3
41,747,11964,0.433,0.378,0.835,16
42,5,2,0.2,0,,0.4
43,334,1954,0.51,0,0.534,5.9
44,230,638,0.448,0.2,0.665,2.8
45,73,241,0.407,0.2,0.692,3.3
46,40,120,0.455,0,0.778,3
47,1,4,1,1,0.5,4
48,43,99,0.352,0,0.787,2.3
49,42,171,0.329,0.167,0.75,4.1
50,,,,,,
51,,,,,,
52,82,253,0.372,0.19,0.672,3.1
53,570,2878,0.45,0.334,0.757,5
54,103,301,0.409,0.2,0.791,2.9
55,507,1319,0.456,0.206,0.693,2.6
56,30,97,0.365,0.4,0.556,3.2
57,22,46,0.475,,0.667,2.1
58,105,286,0.616,0.375,0.74,2.7
1,1058,16827,0.5,0.095,0.736,15.9
2,576,10446,0.429,0.341,0.797,18.1
3,835,13447,0.409,0.32,0.711,16.1
4,961,12781,0.463,0.312,0.693,13.3
5,262,1453,0.417,0.34,0.763,5.5
6,651,9195,0.485,0.406,0.86,14.1
7,921,15708,0.449,0.346,0.852,17.1
8,1304,16278,0.461,0.217,0.807,12.5
9,1163,17700,0.484,0.331,0.81,15.2
10,1410,18881,0.444,0.38,0.845,13.4
11,119,647,0.416,0.396,0.91,5.4
12,15,26,0.308,,0.625,1.7
13,827,13198,0.453,0.324,0.822,16
14,142,379,0.33,0.255,0.714,2.7
15,,,,,,
16,991,13058,0.414,0.339,0.715,13.2
17,142,424,0.404,0.182,0.768,3
18,864,7419,0.41,0.349,0.82,8.6
19,159,567,0.397,0.333,0.71,3.6
20,294,2407,0.411,0.317,0.756,8.2
21,764,3747,0.497,0.13,0.615,4.9
22,632,5876,0.465,0.244,0.699,9.3
23,630,3536,0.392,0.343,0.721,5.6
24,797,9431,0.474,0.31,0.754,11.8
25,43,68,0.329,0.333,0.652,1.6
26,199,1381,0.383,0.321,0.726,6.9
27,471,3325,0.424,0.349,0.704,7.1
28,448,1874,0.41,0.373,0.736,4.2
29,15,33,0.393,,0.647,2.2
30,16,37,0.333,0.222,0.833,2.3
31,,,,,,
32,414,716,0.407,0,0.459,1.7
33,70,224,0.336,0.328,0.692,3.2
34,153,421,0.463,,0.621,2.8
35,366,1190,0.451,0.222,0.748,3.3
36,137,604,0.417,0.385,0.735,4.4
37,143,510,0.423,0,0.72,3.6
38,135,441,0.419,0.236,0.712,3.3
39,8,8,0.19,,,1
40,384,3670,0.442,0.368,0.823,9.6
41,472,1726,0.478,0.188,0.7,3.7
42,,,,,,
43,306,2622,0.474,0.111,0.786,8.6
44,,,,,,
45,1,5,0.333,0,1,5
46,,,,,,
47,223,1369,0.541,,0.642,6.1
48,,,,,,
49,25,34,0.406,,0.667,1.4
50,,,,,,
51,,,,,,
52,,,,,,
53,230,1472,0.412,0.3,0.758,6.4
54,,,,,,
55,,,,,,
56,25,54,0.333,,0.778,2.2
57,1057,14043,0.447,0.369,0.827,13.3
58,,,,,,
1,757,9325,0.483,0.234,0.629,12.3
2,547,4582,0.473,0.074,0.699,8.4
3,446,4507,0.472,0.168,0.59,10.1
4,289,2782,0.435,0.191,0.691,9.6
5,1032,10973,0.459,0.407,0.769,10.6
6,344,2121,0.411,0.336,0.789,6.2
7,436,3262,0.459,0.231,0.704,7.5
8,1327,19419,0.41,0.348,0.862,14.6
9,592,2293,0.552,0,0.557,3.9
10,728,5067,0.416,0.349,0.799,7
11,145,386,0.489,0,0.593,2.7
12,409,2341,0.513,,0.603,5.7
13,187,1690,0.422,0.339,0.813,9
14,167,609,0.389,0.267,0.728,3.6
15,151,841,0.455,0.35,0.738,5.6
16,997,11022,0.426,0.384,0.784,11.1
17,643,7767,0.449,0.26,0.74,12.1
18,783,8032,0.397,0.355,0.718,10.3
19,680,4917,0.48,0,0.639,7.2
20,334,3096,0.409,0.193,0.762,9.3
21,711,7628,0.418,0.373,0.773,10.7
22,205,1150,0.46,0.1,0.659,5.6
23,824,5930,0.406,0.34,0.698,7.2
24,95,251,0.361,0,0.559,2.6
25,315,1497,0.49,0,0.657,4.8
26,69,262,0.427,0,0.736,3.8
27,342,2452,0.498,0.167,0.701,7.2
28,27,77,0.356,0.267,0.9,2.9
29,453,975,0.457,0.063,0.527,2.2
30,447,3193,0.404,0.344,0.73,7.1
31,133,393,0.391,0.289,0.613,3
32,80,442,0.377,0.378,0.822,5.5
33,450,1814,0.487,0.333,0.714,4
34,50,314,0.37,0.333,0.778,6.3
35,17,51,0.322,0.167,0.625,3
36,47,68,0.389,,0.462,1.4
37,717,5356,0.409,0.39,0.851,7.5
38,619,3052,0.481,0.311,0.671,4.9
39,61,195,0.335,0.25,0.795,3.2
40,155,715,0.442,0.063,0.783,4.6
41,,,,,,
42,93,127,0.495,,0.659,1.4
43,629,11972,0.447,0.38,0.838,19
44,456,2108,0.408,0.372,0.861,4.6
45,108,329,0.413,0.125,0.69,3
46,,,,,,
47,,,,,,
48,,,,,,
49,341,1623,0.417,0.315,0.788,4.8
50,19,22,0.4,0.333,0.75,1.2
51,42,78,0.379,0.417,0.806,1.9
52,3,3,0.167,,0.25,1
53,6,18,0.5,,0,3
54,,,,,,
55,51,440,0.389,0,0.667,8.6
56,,,,,,
57,,,,,,
58,,,,,,
1,607,4035,0.492,0.111,0.57,6.6
2,1160,9509,0.597,0,0.644,8.2
3,1226,20894,0.507,0.368,0.753,17
4,527,6820,0.545,1,0.642,12.9
5,857,14644,0.438,0.37,0.707,17.1
6,977,8408,0.437,0.384,0.743,8.6
7,303,2171,0.377,0.315,0.671,7.2
8,601,1185,0.427,0.167,0.467,2
9,218,1540,0.424,0.314,0.749,7.1
10,1277,20407,0.441,0.371,0.802,16
11,143,509,0.405,0.274,0.64,3.6
12,737,5879,0.415,0.378,0.758,8
13,1181,14904,0.464,0.376,0.768,12.6
14,729,7860,0.445,0.388,0.785,10.8
15,400,1817,0.56,0,0.485,4.5
16,27,32,0.232,0,0.5,1.2
17,173,483,0.477,0.143,0.511,2.8
18,735,2621,0.411,0.206,0.647,3.6
19,1116,18578,0.471,0.273,0.764,16.6
20,816,5538,0.528,0,0.587,6.8
21,25,30,0.234,0,0.8,1.2
22,82,204,0.303,0.295,0.687,2.5
23,108,239,0.352,0.333,0.6,2.2
24,113,733,0.429,0.346,0.853,6.5
25,832,9933,0.469,0.312,0.709,11.9
26,886,6814,0.521,0.083,0.706,7.7
27,547,4652,0.393,0.299,0.716,8.5
28,1254,19473,0.491,0.324,0.751,15.5
30,644,3741,0.445,0.318,0.765,5.8
31,552,11402,0.421,0.351,0.803,20.7
32,22,37,0.333,0,0.5,1.7
33,115,584,0.378,0.298,0.692,5.1
34,139,472,0.407,0.196,0.711,3.4
35,520,1594,0.39,0.344,0.783,3.1
36,31,88,0.337,0.462,0.7,2.8
37,39,108,0.336,0.286,0.667,2.8
38,634,8561,0.458,0.375,0.797,13.5
39,,,,,,
40,878,5593,0.411,0.324,0.703,6.4
41,54,89,0.372,0.25,0.393,1.6
42,466,4189,0.437,0.396,0.823,9
43,,,,,,
44,,,,,,
45,45,203,0.463,0,0.691,4.5
46,215,555,0.419,0.143,0.642,2.6
47,,,,,,
48,28,108,0.404,0.304,0.85,3.9
49,16,32,0.405,,0.333,2
50,44,43,0.368,,0.556,1
51,73,186,0.507,,0.697,2.5
52,,,,,,
53,542,2095,0.455,0,0.699,3.9
54,75,321,0.335,0.218,0.746,4.3
55,,,,,,
56,,,,,,
57,23,26,0.4,,0.5,1.1
58,,,,,,
1,486,9247,0.524,0.2,0.833,19
2,75,714,0.399,0.322,0.64,9.5
3,986,11048,0.441,0.377,0.803,11.2
4,790,8653,0.462,0.257,0.76,11
5,172,507,0.304,0.235,0.73,2.9
6,103,964,0.366,0.321,0.77,9.4
7,965,10909,0.548,0.132,0.66,11.3
8,628,5150,0.541,0,0.643,8.2
9,846,15994,0.537,0.236,0.761,18.9
10,881,12430,0.434,0.348,0.847,14.1
11,629,3003,0.426,0.25,0.583,4.8
12,375,1992,0.46,0,0.625,5.3
13,89,311,0.437,0.35,0.659,3.5
14,430,3206,0.411,0.353,0.809,7.5
15,317,2252,0.406,0.375,0.784,7.1
16,247,1519,0.403,0.343,0.752,6.1
17,436,3678,0.413,0.341,0.833,8.4
18,83,258,0.421,0,0.742,3.1
19,85,197,0.344,0,0.539,2.3
20,346,2213,0.4,0.358,0.703,6.4
21,167,691,0.452,0.357,0.603,4.1
22,287,1488,0.393,0.352,0.769,5.2
23,1017,11272,0.455,0.367,0.756,11.1
24,419,4210,0.494,0.143,0.73,10
25,86,253,0.352,0.3,0.833,2.9
26,895,8292,0.431,0.366,0.799,9.3
27,72,281,0.383,0.365,0.667,3.9
28,300,1745,0.401,0.341,0.831,5.8
30,,,,,,
31,518,3289,0.408,0.383,0.866,6.3
32,44,51,0.283,,0.429,1.2
33,59,406,0.393,0.269,0.79,6.9
34,527,2465,0.5,0,0.498,4.7
35,861,13976,0.521,0.071,0.722,16.2
36,,,,,,
37,103,501,0.44,0.347,0.674,4.9
38,9,11,0.25,0,0.625,1.2
39,,,,,,
40,82,896,0.402,0.361,0.849,10.9
41,73,198,0.467,0,0.636,2.7
42,487,4817,0.414,0.304,0.725,9.9
43,,,,,,
44,162,637,0.466,0.2,0.657,3.9
45,,,,,,
46,929,7589,0.436,0.335,0.745,8.2
47,72,142,0.491,0,0.537,2
48,1,4,0.667,,,4
49,,,,,,
50,495,3415,0.499,0.158,0.844,6.9
51,,,,,,
52,,,,,,
53,809,6092,0.403,0.362,0.747,7.5
54,66,173,0.361,0.265,0.538,2.6
55,,,,,,
56,743,8882,0.493,0.339,0.74,12
57,4,2,1,,,0.5
58,10,27,0.323,,0.583,2.7
1,1366,37062,0.505,0.346,0.734,27.1
2,468,2813,0.46,0,0.574,6
3,1260,28289,0.447,0.355,0.814,22.5
4,893,17189,0.494,0.335,0.799,19.2
5,1054,23165,0.48,0.293,0.765,22
6,735,8208,0.489,0.042,0.743,11.2
7,879,9594,0.411,0.375,0.8,10.9
8,429,4797,0.433,0.289,0.815,11.2
9,233,1516,0.485,0,0.689,6.5
10,427,3553,0.415,0.356,0.798,8.3
11,557,4629,0.425,0.355,0.665,8.3
12,910,5359,0.534,0.208,0.723,5.9
13,348,2061,0.432,0.327,0.768,5.9
14,830,7740,0.431,0.349,0.862,9.3
15,71,123,0.324,0.269,0.606,1.7
16,6,11,0.222,0,1,1.8
17,150,640,0.427,0.273,0.733,4.3
18,1034,14034,0.495,0.265,0.817,13.6
19,567,2787,0.404,0.346,0.673,4.9
20,624,3353,0.439,0.329,0.751,5.4
21,1064,9139,0.493,0.336,0.717,8.6
22,148,561,0.405,0.289,0.677,3.8
23,622,5273,0.423,0.337,0.744,8.5
24,421,2312,0.439,0.382,0.783,5.5
25,507,4115,0.401,0.365,0.758,8.1
26,19,40,0.486,0,0.462,2.1
27,782,4214,0.53,0,0.594,5.4
28,850,9035,0.459,0.387,0.821,10.6
29,507,7270,0.448,0.332,0.77,14.3
30,64,215,0.407,0.25,0.676,3.4
31,509,3398,0.442,0.434,0.835,6.7
32,564,2649,0.429,0.326,0.715,4.7
33,2,2,0.333,,,1
34,,,,,,
35,,,,,,
36,,,,,,
37,41,123,0.354,0.3,0.815,3
38,870,5662,0.401,0.383,0.779,6.5
39,1,0,0,,,0
40,2,4,0.667,,,2
41,731,6059,0.425,0.346,0.765,8.3
42,1098,7414,0.469,0,0.751,6.8
43,671,4257,0.394,0.353,0.716,6.3
44,,,,,,
45,792,4632,0.464,0.414,0.78,5.8
46,,,,,,
47,818,10759,0.434,0.378,0.871,13.2
48,11,11,0.444,,0.6,1
49,709,3717,0.401,0.401,0.84,5.2
50,,,,,,
51,1232,11953,0.442,0.429,0.877,9.7
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,67,220,0.476,0,0.488,3.3
57,,,,,,
58,13,17,0.471,,0.5,1.3
1,1242,19485,0.587,0.214,0.567,15.7
2,616,7370,0.512,0,0.586,12
3,744,11084,0.432,0.401,0.857,14.9
4,833,5231,0.486,0.178,0.794,6.3
5,985,10597,0.432,0.325,0.796,10.8
6,391,3548,0.522,0.329,0.779,9.1
7,902,13361,0.456,0.332,0.769,14.8
8,139,389,0.405,0.25,0.679,2.8
9,1223,13951,0.463,0.33,0.709,11.4
10,73,252,0.357,0.36,0.732,3.5
11,516,3247,0.594,0,0.5,6.3
12,97,416,0.506,,0.61,4.3
13,564,4183,0.39,0.319,0.777,7.4
14,800,5350,0.463,0.293,0.7,6.7
15,915,14343,0.499,0.121,0.711,15.7
16,211,1333,0.438,0.327,0.699,6.3
17,894,12996,0.452,0.285,0.632,14.5
18,977,12148,0.419,0.373,0.733,12.4
19,549,4597,0.424,0.365,0.806,8.4
20,878,9940,0.436,0.368,0.81,11.3
21,6,4,0,,0.5,0.7
22,143,643,0.443,0.292,0.658,4.5
23,26,77,0.333,0.265,0.714,3
24,432,4198,0.448,0.372,0.826,9.7
25,820,6654,0.475,0.282,0.709,8.1
26,714,12396,0.437,0.384,0.87,17.4
27,581,3094,0.39,0.367,0.858,5.3
28,831,6952,0.463,0.349,0.833,8.4
29,189,949,0.53,,0.525,5
30,632,4574,0.509,0.023,0.63,7.2
31,87,285,0.408,0,0.58,3.3
32,6,11,0.5,,0.5,1.8
33,36,111,0.336,0.245,0.625,3.1
34,61,165,0.421,0.308,0.65,2.7
35,14,20,0.462,0,0.615,1.4
36,81,186,0.387,0.235,0.571,2.3
37,492,1641,0.406,0.361,0.706,3.3
38,606,3946,0.393,0.363,0.784,6.5
39,,,,,,
40,136,472,0.404,0,0.752,3.5
41,,,,,,
42,,,,,,
43,1118,11593,0.422,0.351,0.731,10.4
44,,,,,,
45,128,576,0.417,0.161,0.786,4.5
46,46,70,0.519,,0.5,1.5
47,76,219,0.416,,0.678,2.9
48,,,,,,
49,,,,,,
